Fecha,Último,Apertura,Máximo,Mínimo,% var.
Aug 2013,"13,3803","12,7402","13,4018","12,5564","5,09%"
Jul 2013,"12,7325","12,967","13,16","12,4322","-1,65%"
Jun 2013,"12,946","12,8152","13,4674","12,6101","1,07%"
May 2013,"12,8089","12,1411","12,9517","11,9431","5,56%"
Apr 2013,"12,134","12,3423","12,402","12,0183","-1,48%"
Mar 2013,"12,316","12,7785","12,8701","12,3063","-3,62%"
Feb 2013,"12,7791","12,7067","12,9006","12,5815","0,55%"
Jan 2013,"12,7088","12,8595","12,9138","12,5523","-1,22%"
Dec 2012,"12,8657","12,9535","13,0523","12,6815","-0,65%"
Nov 2012,"12,9503","13,0956","13,2963","12,8994","-1,14%"
Oct 2012,"13,0994","12,8657","13,1103","12,6555","1,87%"
Sep 2012,"12,8594","13,2031","13,2446","12,6991","-2,52%"
Aug 2012,"13,1924","13,3261","13,4809","13,0338","-1,01%"
Jul 2012,"13,327","13,2675","13,7755","13,0933","-0,23%"
Jun 2012,"13,3573","14,3582","14,6007","13,3048","-7,06%"
May 2012,"14,3716","13,0218","14,3844","12,8782","10,42%"
Apr 2012,"13,0155","12,7757","13,2807","12,7018","1,63%"
Mar 2012,"12,807","12,855","13,0528","12,551","-0,30%"
Feb 2012,"12,846","13,0466","13,0762","12,6162","-1,52%"
Jan 2012,"13,0446","13,932","13,9849","12,8296","-6,52%"
Dec 2011,"13,9547","13,6313","14,0473","13,4333","2,28%"
Nov 2011,"13,6438","13,3715","14,3138","13,2788","2,12%"
Oct 2011,"13,3604","13,8689","14,1077","12,9989","-3,88%"
